Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,63.950001,64.059998,63.009998,63.619999,53.557831,25393200
2016-01-05,63.700001,64.129997,63.040001,63.730000,53.650433,16566700
2016-01-06,62.720001,63.130001,62.340000,62.810001,52.875938,22961500
2016-01-07,61.459999,62.000000,60.080002,60.270000,50.737659,27630900
2016-01-08,61.130001,61.270000,58.849998,58.919998,49.601185,22373300
2016-01-11,58.830002,59.220001,58.040001,58.830002,49.525414,20925500
2016-01-12,59.450001,59.560001,58.099998,58.959999,49.634857,22971600
2016-01-13,59.459999,59.680000,56.910000,57.340000,48.271080,28808100
2016-01-14,58.160000,59.380001,57.290001,58.200001,48.995056,31296300
2016-01-15,56.450001,57.570000,56.220001,57.040001,48.018524,38131700
2016-01-19,57.730000,57.970001,56.509998,57.009998,47.993259,22818900
2016-01-20,55.630001,56.180000,54.660000,55.509998,46.730511,34646100
2016-01-21,55.740002,56.520000,55.060001,55.250000,46.511635,31301100
2016-01-22,56.439999,57.160000,56.299999,56.950001,47.942757,22732200
2016-01-25,56.480000,56.849998,55.599998,55.660000,46.856781,21114400
2016-01-26,55.849998,57.150002,55.810001,57.080002,48.052193,17535700
2016-01-27,57.080002,58.270000,56.560001,57.040001,48.018524,20560000
2016-01-28,57.520000,57.970001,56.630001,57.279999,48.220558,15497900
2016-01-29,57.830002,59.540001,57.509998,59.500000,50.089451,26992200
2016-02-01,59.160000,59.650002,58.439999,58.860001,49.550674,16807900
2016-02-02,57.880001,57.980000,56.750000,57.029999,48.010109,22448200
2016-02-03,57.369999,57.799999,55.020000,57.410000,48.330006,31543200
2016-02-04,57.060001,58.520000,57.060001,58.400002,49.163425,21651300
2016-02-05,58.580002,59.139999,57.419998,57.750000,48.616226,22001300
2016-02-08,56.689999,56.919998,55.540001,56.540001,47.597599,28267600
2016-02-09,55.290001,56.689999,55.130001,56.200001,47.311378,26300000
2016-02-10,56.570000,57.410000,55.470001,55.520000,46.738930,22389600
2016-02-11,53.900002,53.910000,52.500000,53.070000,44.676426,44334700
2016-02-12,55.650002,57.570000,55.169998,57.490002,48.397346,37011400
2016-02-16,58.230000,58.599998,57.639999,58.349998,49.121330,23730700
2016-02-17,58.849998,59.250000,58.389999,58.770000,49.474888,21580100
2016-02-18,58.840000,58.860001,57.250000,57.810001,48.666744,17037800
